AREA,PERIMETER,HISTLU_CPE,HISTLU_C_1,POT_LU,LU1885,LU1912,LU1945,LU1977,LU2004,DIST
1195974.500000000000000,6977.125000000000000,665.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
539981.187999999965541,3137.304000000000087,666.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
968066.187999999965541,7846.603000000000065,667.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
185431.921999999991385,1936.483999999999924,668.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
341282.250000000000000,3839.625000000000000,669.000000000000000,0.000000000000000,Valley oak,Valley oak,Valley oak,Valley oak,Valley oak,Urban,1.000000000000000
1836981.000000000000000,5783.595000000000255,670.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
636226.375000000000000,3757.438000000000102,671.000000000000000,0.000000000000000,Wetlands,Wetlands,Wetlands,Irrigated,Wetlands,Wetlands,1.000000000000000
156350.046999999991385,2071.753000000000156,672.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
744466.437999999965541,7180.542000000000371,673.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
174381.937999999994645,1986.491999999999962,674.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
3053228.500000000000000,25230.598000000001775,675.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Urban,1.000000000000000
271515.656000000017229,2144.478000000000065,676.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
230431.203000000008615,2094.322999999999865,677.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
594072.187999999965541,6307.533999999999651,678.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
582990.250000000000000,6346.576000000000022,679.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Urban,1.000000000000000
2802096.750000000000000,10015.061999999999898,680.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
622243.375000000000000,3327.320000000000164,681.000000000000000,0.000000000000000,Wetlands,Wetlands,Wetlands,Irrigated,Irrigated,Irrigated,3.000000000000000
366164.218999999982771,3236.840999999999894,682.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Irrigated,2.000000000000000
147804.578000000008615,2182.010000000000218,683.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Urban,Urban,4.000000000000000
511186.375000000000000,3241.592000000000098,684.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
128941.445000000006985,1842.930000000000064,685.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
