AREA,LU1885,LU1945,POT_LU,Shape__Area,Shape__Length
1836981.000000000000000,Wetlands,Irrigated,Wetlands,2948951.996093750000000,7327.333798434317941
636226.375000000000000,Wetlands,Irrigated,Wetlands,1021412.484375000000000,4760.382985456702954
156350.046999999991385,Grassland,Irrigated,Grassland,251042.074218750000000,2625.551447743230710
744466.437999999965541,Grassland,Grassland,Grassland,1195453.019531250000000,9098.091301313266740
174381.937999999994645,Grassland,Grassland,Grassland,280032.824218750000000,2516.734006285390478
3053228.500000000000000,Grassland,Grassland,Grassland,4898829.316406250000000,31962.519587839062297
271515.656000000017229,Grassland,Irrigated,Grassland,435960.679687500000000,2717.193651136616154
366730000.000000000000000,Grassland,Grassland,Grassland,588584566.238281250000000,638764.763742578565143
230431.203000000008615,Grassland,Irrigated,Grassland,370010.992187500000000,2654.061140792269271
594072.187999999965541,Grassland,Grassland,Grassland,953883.921875000000000,7992.904520137726649
582990.250000000000000,Grassland,Grassland,Grassland,935656.308593750000000,8039.905039766819755
2802096.750000000000000,Grassland,Irrigated,Grassland,4498348.566406250000000,12688.394521780277501
622243.375000000000000,Wetlands,Irrigated,Wetlands,998845.351562500000000,4215.629935318245771
366164.218999999982771,Grassland,Irrigated,Grassland,587790.617187500000000,4100.584369108388273
147804.578000000008615,Grassland,Irrigated,Grassland,237315.734375000000000,2764.949763196482763
511186.375000000000000,Grassland,Irrigated,Grassland,820716.351562500000000,4108.048648335339749
128941.445000000006985,Grassland,Irrigated,Grassland,207023.472656250000000,2335.097556458091276
179987.844000000011874,Grassland,Irrigated,Grassland,288975.414062500000000,2865.697110470052394
530372.562999999965541,Grassland,Grassland,Grassland,851524.003906250000000,4598.232301782564718
359325.843999999982771,Grassland,Irrigated,Grassland,576734.519531250000000,6919.765614346971233
373145.343999999982771,Grassland,Irrigated,Grassland,599133.722656250000000,3928.047447957738314
2200320.500000000000000,Grassland,Irrigated,Grassland,3531349.375000000000000,10312.545486185808841
242321.437999999994645,Grassland,Irrigated,Grassland,388863.566406250000000,6470.128308487881441
161736.016000000003260,Urban,Urban,Grassland,259646.289062500000000,2266.981332776225827
386378.750000000000000,Grassland,Irrigated,Grassland,620303.464843750000000,3533.426758234819317
491389.313000000023749,Grassland,Irrigated,Grassland,788854.558593750000000,4019.576000046997251
113717.664000000004307,Grassland,Urban,Grassland,182551.453125000000000,2798.614239563151841
1161272.875000000000000,Grassland,Irrigated,Grassland,1863910.359375000000000,20215.872626731797936
534531.625000000000000,Grassland,Irrigated,Grassland,858120.539062500000000,4068.100463269215197
727043.812999999965541,Grassland,Grassland,Grassland,1167215.078125000000000,5434.743397901303069
3812524.250000000000000,Grassland,Grassland,Grassland,6116791.207031250000000,19719.016636398682749
771955.500000000000000,Grassland,Irrigated,Grassland,1239143.500000000000000,5516.900878066241603
1854112.250000000000000,Wetlands,Irrigated,Wetlands,2976229.667968750000000,29472.293382807874877
450729.500000000000000,Grassland,Irrigated,Grassland,723559.183593750000000,3229.601119421562544
139004.344000000011874,Wetlands,Irrigated,Wetlands,223140.035156250000000,2543.400536373137584
136534.905999999988126,Grassland,Irrigated,Grassland,219208.535156250000000,2972.030891577550847
110142.758000000001630,Grassland,Grassland,Grassland,176777.285156250000000,1805.823259299267647
153534.719000000011874,Grassland,Irrigated,Grassland,246471.628906250000000,2779.852426337641646
127780.789000000004307,Grassland,Irrigated,Grassland,205155.316406250000000,2056.056676050570331
135808.687999999994645,Wetlands,Irrigated,Wetlands,217992.261718750000000,2062.647762483911720
122339.179999999993015,Grassland,Irrigated,Grassland,196411.074218750000000,2683.905499698632866
247498.844000000011874,Grassland,Grassland,Grassland,397224.378906250000000,3779.089380824279488
316864.031000000017229,Grassland,Irrigated,Grassland,508717.414062500000000,3452.577041310825280
497333.750000000000000,Grassland,Grassland,Grassland,798117.898437500000000,6670.469639191993338
172044.046999999991385,Grassland,Grassland,Grassland,276208.710937500000000,2604.769401424456646
147709.203000000008615,Grassland,Irrigated,Grassland,237119.324218750000000,1959.469384642310160
3965388.000000000000000,Wetlands,Irrigated,Wetlands,6364311.656250000000000,20172.666714843955560
319458.468999999982771,Wetlands,Irrigated,Wetlands,512762.601562500000000,14415.905508498690324
169970.578000000008615,Grassland,Irrigated,Grassland,272830.988281250000000,2434.874501950878312
147088.187999999994645,Grassland,Grassland,Grassland,236053.167968750000000,2786.414641795659463
157513.500000000000000,Grassland,Irrigated,Grassland,252844.421875000000000,3943.121138686060931
346926.750000000000000,Grassland,Irrigated,Grassland,556842.949218750000000,4726.450176033791649
1410199.750000000000000,Grassland,Irrigated,Grassland,2263597.886718750000000,8004.389010153316121
271080.313000000023749,Grassland,Irrigated,Grassland,435210.222656250000000,3746.116389059945959
285548.750000000000000,Grassland,Irrigated,Grassland,458408.800781250000000,5797.718968509471779
20523262.000000000000000,Wetlands,Irrigated,Wetlands,32935465.136718750000000,36078.852580666280119
434684.063000000023749,Wetlands,Irrigated,Wetlands,697696.566406250000000,4281.599530002464235
1121998.875000000000000,Grassland,Grassland,Grassland,1800358.832031250000000,7120.332589805709176
464629.188000000023749,Grassland,Irrigated,Grassland,745929.382812500000000,6457.276485569756915
2821117.750000000000000,Wetlands,Irrigated,Wetlands,4527732.441406250000000,10102.095070432193097
149850.266000000003260,Grassland,Grassland,Grassland,240481.636718750000000,2601.983527274651806
201305.780999999988126,Wetlands,Irrigated,Wetlands,323104.179687500000000,2727.160720413197851
139392.453000000008615,Grassland,Irrigated,Grassland,223766.156250000000000,1905.444230528405114
216105.421999999991385,Valley oak,Valley oak,Valley oak,346785.425781250000000,2662.724365124484393
312033.093999999982771,Grassland,Irrigated,Grassland,500907.894531250000000,3502.009420709388905
285495.375000000000000,Grassland,Irrigated,Grassland,458233.191406250000000,2893.600315350487108
1452450.625000000000000,Grassland,Grassland,Grassland,2330544.441406250000000,7892.731833280731735
2388467.000000000000000,Grassland,Grassland,Grassland,3831785.003906250000000,15033.500863670542458
326825.281000000017229,Grassland,Irrigated,Grassland,524564.628906250000000,3158.458985095703156
819319.062999999965541,Wetlands,Irrigated,Wetlands,1314829.066406250000000,9977.445807957454235
313276.031000000017229,Riparian,Riparian,Riparian,502893.109375000000000,6071.696494609832371
117897.375000000000000,Grassland,Irrigated,Grassland,189239.789062500000000,1766.414715774872775
336630.500000000000000,Wetlands,Irrigated,Wetlands,540258.632812500000000,3383.404216115987310
374906.125000000000000,Grassland,Irrigated,Grassland,601731.156250000000000,4742.609096288418186
1102773.750000000000000,Grassland,Grassland,Grassland,1769203.007812500000000,10415.571539528533322
196632.812999999994645,Grassland,Irrigated,Grassland,315663.531250000000000,3456.579604477260091
116459.672000000005937,Grassland,Irrigated,Grassland,186912.097656250000000,2868.492186179062173
889288.625000000000000,Grassland,Irrigated,Grassland,1427413.578125000000000,5379.034217866920699
646789.125000000000000,Grassland,Irrigated,Grassland,1038162.171875000000000,4188.291079138806708
